date,auction_month,auction_year,bi_rate,yield01_ibpa,yield05_ibpa,yield10_ibpa,inflation_rate,idprod_rate,jkse_avg,idrusd_avg,awarded_bio_log,incoming_mio_log,awarded_mio_log,number_series,bid_to_cover,move,forh_avg,dpk_bio_log,incoming_bio_log,incoming_billions,awarded_billions,incoming_millions,awarded_millions
2025-12-01,12,2025,4.75,4.693034217065648,5.601202054339437,6.1221316622939845,2.698296982639845,0.7179652757987229,8324.271661672297,16737.35748688346,4.767636390505653,8.255581256100712,7.766605402885973,23,1.630645344303191,76.25502088150792,13.373128248389222,6.995739605253853,5.220949095977031,185.10978767995823,117.64085604820285,3849.0485085481714,2360.444913417363
2026-01-01,1,2026,4.75,4.689034897977998,5.595155369409599,6.705607883281274,2.3944579521393448,-2.7534901585301257,8230.134994169068,16777.859416242383,5.0254692138409025,8.536061421029196,8.024534985697493,34,1.6678350953191892,76.36882382820276,13.28157969244796,6.999456314038997,5.485861611535354,241.25672404875095,152.24167325665724,5095.236797524812,3055.0003485504594
2026-02-01,2,2026,4.75,4.68411967783358,5.589010937648156,7.093853119764567,2.3729639517132783,-6.186240518515631,8245.593918424876,16817.390906144923,4.905767366581475,8.481313531285751,7.903462704811782,34,1.7822040460931312,76.48036938809716,13.189297935514718,7.00290092773196,5.481484596324096,240.20304735943708,135.06651578040862,4823.781925776285,2706.638410091575
2026-03-01,3,2026,4.75,4.679115242778284,5.584690264443858,6.914647538904941,2.3515474113749977,-6.711307665558664,8286.396055846533,16851.635650516284,4.909887850148537,8.411213100854564,7.907566750090171,26,1.65474406069508,76.58972666121515,13.096307637455133,7.006196862866443,5.351883719402834,211.00539869961304,135.62420332126325,4497.212776468725,2717.7694021029797
2026-04-01,4,2026,4.75,4.674024192974412,5.578169105810009,7.161278386430759,2.330205972057464,-1.9616517063501084,8335.419208981282,16892.664746072416,4.904522703485791,8.39282573765921,7.901897544667359,34,1.6338320278035097,76.69696229239753,13.002632572847952,7.009632397320467,5.46744618664448,236.85453744397967,134.89850805095392,4415.276496360027,2702.405401059394
2026-05-01,5,2026,4.75,4.668849038369592,5.571750523698604,7.332126621648283,2.30893735809005,-0.35324019109777716,8348.19704191581,16933.035158406186,4.800984756741838,8.262012123444645,7.905847611049106,34,1.4278424267211784,76.80214057049378,12.908295666625683,7.0130635866454645,5.467688554566106,236.91195034318906,121.6301346580454,3873.8809905246508,2713.1011924196882
2026-06-01,6,2026,4.75,4.66359220228161,5.5652452106563315,6.980167263138618,2.0881943360511586,-3.131378825946522,8389.776823878381,16973.376461815536,4.754389234885235,8.195730822206903,7.765553964531633,42,1.5375294233832648,76.86575352255012,12.813319028112867,7.016656370735691,5.523459512797909,250.5001483644278,116.09272611952981,3625.4395757280336,2357.9643554075315
2026-07-01,7,2026,4.75,4.65825602482331,5.558655634624933,7.183555522170421,2.1331693637768527,0.08418065696782229,8304.668381854824,17013.68951953872,5.008327178647492,8.476187580028318,8.030029635825521,34,1.5622982029921375,76.93181751207935,12.705664648836434,7.020248796057163,5.476609777952965,239.03495057440702,149.65418193022592,4799.118719946629,3071.8327082213136
2026-08-01,8,2026,4.75,4.652842766175464,5.553793523981676,7.132788086809136,1.9017036950154016,-2.1757479828208863,8388.400354201136,17053.97516509774,4.909684396921535,8.484274467466946,7.922430330693316,34,1.7539039585421667,77.03117012491187,12.597260624206399,7.0238573501533565,5.478470936380796,239.48024674203347,135.5966129462086,4838.086002489159,2758.466892628798
2026-09-01,9,2026,4.75,4.647354609715083,5.546863607867682,7.133187392633493,1.5903131791628724,-0.06073607866343833,8294.102616708797,17093.713796313943,4.913626742902061,8.403067843229028,7.926480806004066,42,1.610568201989509,77.12868999390297,12.488129219808624,7.027461870298745,5.507915117410567,246.63638276301586,136.1322368218204,4460.73059987238,2769.6626534425
2026-10-01,10,2026,4.75,4.641793665006239,5.5400374606281995,7.1025788067959965,1.4068942069259867,-4.4738177567404795,8314.425545055845,17133.702404927866,4.917567550309897,8.407774489978683,7.93053000113072,34,1.6116274208222785,77.22443128615323,12.378291933493506,7.031066390444131,5.41668820038133,225.132293466925,136.6697662033668,4481.775168878333,2780.900294307265
2026-11-01,11,2026,4.75,4.63616197066011,5.53313629519408,7.202039650345784,1.5005169678983727,-5.2599811496437034,8326.733341803241,17173.67050748749,4.791074745356065,8.331989633824254,7.807977223791105,34,1.6887901922906874,77.31844631019165,12.281736828766801,7.034502350916551,5.422024689603129,226.33692090637146,120.43073150411875,4154.6756174147,2460.1490678834816
2026-12-01,12,2026,4.75,4.630461497070537,5.526162184850254,7.357679509172895,1.3220215682566636,-1.9422674140641498,8443.370259661324,17214.149421964557,4.74448636706688,8.200401732802145,7.761257058905727,25,1.5513797153011293,77.41078558850161,12.183271371689779,7.037952178481521,5.245583284311018,189.72644742153832,114.94874887465015,3642.4132903462487,2347.8541419753196
