month,date,Random Forest (Rp T),Gradient Boosting (Rp T),AdaBoost (Rp T),Stepwise Regression (Rp T),Ensemble Mean (Rp T)
1,01/01/2026,295927.4618248364,357011.1975813337,285577.4307904104,353896.51563058345,321452.5083460197
2,01/02/2026,294768.4380057462,359298.5704795789,285577.4307904104,341882.84731950425,318885.2386033534
3,01/03/2026,230123.36527509327,194017.0826261715,234335.7532561923,169612.50805877743,205245.80029104938
4,01/04/2026,288873.2269602056,326539.9250546346,282115.10446148197,318964.15262750915,303530.92775462614
5,01/05/2026,295846.8702617106,323888.2752450177,282115.10446148197,308134.3545823114,302104.4807103897
6,01/06/2026,307651.9864832578,370110.23211788863,285577.4307904104,401127.18548076885,337947.46919844655
7,01/07/2026,310368.6127455266,350885.4428516636,282115.10446148197,289475.65513845714,307093.3292023578
8,01/08/2026,311861.56745312054,392888.63648007024,282115.10446148197,282210.3007872714,314273.4053765457
9,01/09/2026,298790.9690833604,352027.4999894515,285577.4307904104,368709.31075014704,324405.35254190746
10,01/10/2026,273221.0725350242,259673.8538542919,270463.0537080369,268579.38177223294,267935.8078444782
11,01/11/2026,269966.96143256006,257965.45621200086,270463.0537080369,258244.59347148178,264090.5368621119
12,01/12/2026,190151.37222872625,137153.48024729008,141468.54927318922,124424.68134265987,146375.42980296043
TOTAL,2026 Full Year,3367551.9042891674,3681459.652739393,3187500.5509530245,3485261.4869617047,3413340.2865342465
AVG,Monthly Average,280629.3253574306,306788.3043949494,265625.04591275204,290438.45724680874,284445.0238778539
